customer_id,customer_name,gender,contact_number,dob,city
1,Ali,Male,96649046953,2004-05-18,Islamabad
2,Ahmed,Male,09332746846,1969-12-21,Islamabad
3,Hassan,Male,64915150831,1975-07-13,Quetta
4,Usman,Male,46403518795,1959-11-25,Quetta
5,Bilal,Male,97437940698,1985-06-30,Karachi
6,Zaid,Male,56290597659,1981-09-12,Karachi
7,Hamza,Male,06382394240,1990-08-26,Karachi
8,Ahsan,Male,08806813147,1988-05-15,Lahore
9,Fahad,Male,33800101159,1998-07-24,Karachi
10,Tariq,Male,91405819036,1961-09-30,Quetta
11,Imran,Male,48348231835,1973-01-11,Karachi
12,Noman,Male,79081831763,1977-02-14,Lahore
13,Shahid,Male,45976014213,1998-09-29,Karachi
14,Naveed,Male,40090250947,1953-07-16,Karachi
15,Waqar,Male,80968274141,1972-09-06,Quetta
16,Farhan,Male,90148799483,1999-06-25,Lahore
17,Kamran,Male,82736087727,1995-09-03,Karachi
18,Amir,Male,18860955107,1982-06-22,Islamabad
19,Rizwan,Male,79469917818,2006-02-28,Karachi
20,Sami,Male,47346128620,1955-03-21,Quetta
21,Jawad,Male,53819052729,1984-11-23,Lahore
22,Yasir,Male,44271014651,1952-08-16,Islamabad
23,Asad,Male,80940712891,1980-03-06,Lahore
24,Kashif,Male,02841936694,1984-03-15,Islamabad
25,Zohaib,Male,93120834652,1964-04-30,Karachi
26,Saad,Male,78258450163,2006-01-10,Quetta
27,Rehan,Male,27467598469,1954-09-15,Karachi
28,Umar,Male,87826602944,1982-10-02,Islamabad
29,Basit,Male,52545312315,1995-11-19,Quetta
30,Adeel,Male,09269797772,1984-10-24,Lahore
31,Anas,Male,43881365566,1997-04-05,Quetta
32,Faizan,Male,28379536896,2002-03-16,Islamabad
33,Shahzaib,Male,41073364926,1970-03-17,Islamabad
34,Ammar,Male,57331021067,1949-09-28,Islamabad
35,Adnan,Male,34048404388,2004-06-14,Karachi
36,Ayesha,Female,82249893804,1993-07-26,Islamabad
37,Fatima,Female,56189366627,1971-10-08,Islamabad
38,Zainab,Female,71136094630,1973-11-06,Quetta
39,Sana,Female,25983613710,1987-06-10,Lahore
40,Hira,Female,42687467486,1991-03-17,Karachi
41,Rabia,Female,05739610991,1987-08-02,Quetta
42,Mehwish,Female,47609311961,1982-11-08,Lahore
43,Kiran,Female,69762986856,1956-04-21,Lahore
44,Mariam,Female,43091918268,1956-10-13,Karachi
45,Areeba,Female,11823824196,1951-09-11,Karachi
46,Mahnoor,Female,18909402319,1953-08-04,Quetta
47,Iqra,Female,62808728686,1988-07-26,Karachi
48,Laiba,Female,19512681662,1986-11-03,Quetta
49,Huma,Female,89605166034,2001-07-15,Quetta
50,Nimra,Female,09827034380,1977-10-17,Lahore
