staff_id,name,role,phone,salary
1,Miss Jacqueline Marshall MD,Technician,52828057677,48292.61
2,Mr. Andrew James,Receptionist,69815205196,36501.25
3,Sandra Watson,Receptionist,53208116641,38509.51
4,Yolanda Baker,Receptionist,88485072004,66334.11
5,Matthew Gonzalez,Manager,27913071674,56169.92
6,Anna Nichols,Manager,48303099875,65395.57
7,Victoria Marquez,Cleaner,83675425469,62301.61
8,Andrew Mcintyre,Manager,02946759784,57720.76
9,Kimberly Hill DVM,Receptionist,46260112682,46847.54
10,Matthew Dunn,Receptionist,80587284725,47608.99
11,Charles Thomas,Cleaner,46635075975,35843.59
12,Michael Bryant,Technician,34203874865,48023.65
13,Scott Martinez,Manager,00881411509,25870.72
14,Elizabeth Ferguson,Technician,27329107358,56585.26
15,Nicholas Shepard,Receptionist,87055982238,52150.26
